bat_landing_to_food,rat_present
0.017597713,1
0.032534418,1
4.0,1
14.0,1
20.0,1
2.0,1
36.0,1
8.0,1
0.097800752,1
0.063312201,1
18.0,1
2.0,1
5.0,1
0.078489345,1
22.0,1
46.0,1
9.0,1
4.0,1
0.085746166,1
4.0,1
0.040027684,1
0.076567662,1
0.072746343,1
0.055695432,1
33.0,1
39.0,1
3.0,1
0.094277126,1
1.0,1
0.019462583,1
7.0,1
0.037865482,1
4.0,1
0.037828205,1
22.0,1
0.099086619,1
0.033212611,1
0.096084094,1
7.0,1
6.0,1
5.0,1
8.0,1
5.0,1
17.0,1
1.0,1
2.0,1
31.0,1
1.0,1
2.0,1
5.0,1
13.0,1
15.0,1
1.0,1
3.0,1
2.0,1
6.0,1
11.0,1
3.0,1
6.0,1
5.0,1
5.0,1
2.0,1
4.0,1
1.0,1
7.0,1
6.0,1
5.0,1
18.0,1
3.0,1
10.0,1
1.0,1
0.063724824,1
5.0,1
6.0,1
15.0,1
4.0,1
5.0,1
0.026148246,1
7.0,1
7.0,1
0.08833199,1
8.0,1
28.0,1
6.0,1
15.0,1
2.0,1
3.0,1
3.0,1
17.0,1
1.0,1
3.0,1
0.032185829,1
1.0,1
12.0,1
7.0,1
3.0,1
8.0,1
1.0,1
5.0,1
14.0,1
0.084689878,1
0.093387578,1
0.029003504,1
9.0,1
1.0,1
2.0,1
2.0,1
50.0,1
150.0,1
6.0,1
11.0,1
13.0,1
32.0,1
36.0,1
164.0,1
4.0,1
9.0,1
12.0,1
11.0,1
2.0,1
0.052214843,1
1.0,1
5.0,1
2.0,1
7.0,1
2.0,1
5.0,1
4.0,1
4.0,1
16.0,1
1.0,1
2.0,1
3.0,1
4.0,1
30.0,1
28.0,1
2.0,1
27.0,1
5.0,1
1.0,1
5.0,1
0.039481249,1
118.0,1
37.0,1
109.0,1
2.0,1
25.0,1
37.0,1
2.0,1
1.0,1
28.0,1
2.0,1
0.071239584,1
11.0,1
5.0,1
0.033235649,1
3.0,1
15.0,1
1.0,1
1.0,1
17.0,1
0.0502264,1
4.0,1
1.0,1
0.057320093,1
2.0,1
2.0,1
1.0,1
6.0,1
4.0,1
17.0,1
41.0,1
4.0,1
5.0,1
10.0,1
23.0,1
2.0,1
5.0,1
42.0,1
10.0,1
2.0,1
30.0,1
50.0,1
31.0,1
3.0,1
2.0,1
1.0,1
4.0,1
5.0,1
21.0,1
7.0,1
23.0,1
1.0,1
8.0,1
8.0,1
4.0,1
1.0,1
1.0,1
1.0,1
1.0,1
4.0,1
23.0,1
10.0,1
2.0,1
19.0,1
1.0,1
106.0,1
2.0,1
6.0,1
5.0,1
20.0,1
22.0,1
7.0,1
4.0,1
2.0,1
5.0,1
0.010871342,1
4.0,1
6.0,1
30.0,1
1.0,1
23.0,1
0.019932178,1
22.0,1
443.0,1
7.0,1
4.0,1
2.0,1
7.0,1
5.0,1
3.0,1
3.0,1
44.0,1
4.0,1
1.0,1
7.0,1
24.0,1
22.0,1
2.0,1
21.0,1
8.0,1
8.0,1
10.0,1
1.0,1
9.0,1
4.0,1
3.0,1
1.0,1
11.0,1
34.0,1
16.0,1
0.068724243,1
1.0,1
83.0,1
0.062303811,1
31.0,1
16.0,1
8.0,1
35.0,1
26.0,1
43.0,1
1.0,1
34.0,1
7.0,1
14.0,1
36.0,1
4.0,1
19.0,1
4.0,1
14.0,1
29.0,1
0.095162728,1
82.0,1
3.0,1
0.042360901,1
2.0,1
3.0,1
2.0,1
8.0,1
104.0,1
4.0,1
30.0,1
18.0,1
2.0,1
8.0,1
52.0,1
2.0,1
4.0,1
7.0,1
4.0,1
19.0,1
1.0,1
5.0,1
2.0,1
13.0,1
61.0,1
1.0,1
40.0,1
8.0,1
81.0,1
26.0,1
4.0,1
14.0,1
6.0,1
3.0,1
1.0,1
1.0,1
18.0,1
1.0,1
4.0,1
29.0,1
1.0,1
16.0,1
2.0,1
1.0,1
56.0,1
13.0,1
1.0,1
1.0,1
20.0,1
14.0,1
15.0,1
23.0,1
1.0,1
1.0,1
3.0,1
16.0,1
27.0,1
0.092315438,1
16.0,1
5.0,1
12.0,1
1.0,1
1.0,1
2.0,1
12.0,1
1.0,1
3.0,1
50.0,1
1.0,1
37.0,1
1.0,1
5.0,1
8.0,1
19.0,1
0.060691217,1
0.0892831,1
11.0,1
18.0,1
6.0,1
6.0,1
10.0,1
17.0,1
33.0,1
8.0,1
1.0,1
16.0,1
195.0,1
14.0,1
19.0,1
2.0,1
46.0,1
2.0,1
1.0,1
1.0,1
18.0,1
35.0,1
38.0,1
1.0,1
39.0,1
4.0,1
2.0,1
0.042337019,1
23.0,1
22.0,1
29.0,1
28.0,1
5.0,1
18.0,1
20.0,1
0.018395555,1
4.0,1
11.0,1
4.0,1
10.0,1
36.0,1
10.0,1
76.0,1
1.0,1
5.0,1
67.0,1
45.0,1
0.062233499,1
6.0,1
8.0,1
5.0,1
8.0,1
4.0,1
2.0,1
1.0,1
22.0,1
2.0,1
120.0,1
